method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
latest,n13_coverage_seams_1,coverage_seams,13,13,3564.800540806461,274.2154262158816,13199.0027040323,139,13,0.17524880000564735,0,0.0,0,
latest,n13_coverage_seams_2,coverage_seams,13,13,3437.258636563277,264.40451050486746,13006.293182816386,125,11,0.17276659999333788,0,0.0,0,
latest,n13_coverage_seams_3,coverage_seams,13,13,3415.7360340371656,262.7489256951666,12143.680170185822,150,12,0.16835389999323525,0,0.0,0,
latest,n14_uniform_disk_0,uniform_disk,14,14,3211.5721572415296,229.39801123153782,12327.860786207644,113,1,0.22190339998633135,0,0.0,0,
latest,n14_uniform_disk_1,uniform_disk,14,14,2965.157186062751,211.79694186162507,10410.785930313754,135,3,0.2582122000021627,0,0.0,0,
latest,n14_uniform_disk_2,uniform_disk,14,14,2972.3684181755402,212.31202986968145,10791.842090877695,124,2,0.2248634999996284,0,0.0,0,
latest,n14_uniform_disk_3,uniform_disk,14,14,3472.6257476405085,248.04469626003632,13238.128738202538,127,0,0.20296480000251904,0,0.0,0,
latest,n14_outer_ring_0,outer_ring,14,14,3920.437475798356,280.03124827131114,15322.187378991783,131,1,0.18075830000452697,0,0.0,0,
latest,n14_outer_ring_1,outer_ring,14,14,3568.1228556327087,254.8659182594792,13110.614278163548,143,10,0.18172039999626577,0,0.0,0,
latest,n14_outer_ring_2,outer_ring,14,14,3561.377494726787,254.38410676619907,13596.887473633935,129,2,0.19446859999152366,0,0.0,0,
latest,n14_outer_ring_3,outer_ring,14,14,3515.5615094585646,251.11153638989748,13127.807547292829,137,2,0.19879480000236072,0,0.0,0,
latest,n14_two_clusters_0,two_clusters,14,14,2549.5145949529383,182.1081853537813,8557.572974764691,129,0,0.21715960001165513,0,0.0,0,
latest,n14_two_clusters_1,two_clusters,14,14,2624.3999165227833,187.45713689448453,8916.99958261392,128,2,0.2583248000009917,0,0.0,0,
latest,n14_two_clusters_2,two_clusters,14,14,2501.7090074517323,178.6935005322666,8313.54503725866,129,0,0.23038390000874642,0,0.0,0,
latest,n14_two_clusters_3,two_clusters,14,14,2591.9630813873728,185.14022009909806,9089.815406936863,118,0,0.2539915999950608,0,0.0,0,
latest,n14_narrow_sector_0,narrow_sector,14,14,2408.981343562574,172.07009596875528,8854.906717812868,95,0,0.2810600000084378,0,0.0,0,
latest,n14_narrow_sector_1,narrow_sector,14,14,2415.75958927472,172.55425637676572,8303.797946373601,113,3,0.30559410000569187,0,0.0,0,
latest,n14_narrow_sector_2,narrow_sector,14,14,2661.067244706355,190.07623176473962,9705.336223531776,108,2,0.27415699999255594,0,0.0,0,
latest,n14_narrow_sector_3,narrow_sector,14,14,2723.5869951073178,194.54192822195128,9282.93497553659,133,1,0.30024099998991005,0,0.0,0,
latest,n14_coverage_seams_0,coverage_seams,14,14,3757.6559003352386,268.40399288108847,14158.279501676194,138,14,0.17748569999821484,0,0.0,0,
latest,n14_coverage_seams_1,coverage_seams,14,14,3537.2731103588853,252.66236502563467,13126.365551794433,135,14,0.1754785999946762,0,0.0,0,
latest,n14_coverage_seams_2,coverage_seams,14,14,3470.597818680183,247.89984419144164,12807.989093400905,136,12,0.193712799999048,0,0.0,0,
latest,n14_coverage_seams_3,coverage_seams,14,14,3716.279637250136,265.4485455178669,14041.398186250673,136,12,0.18311040000116918,0,0.0,0,
latest,n15_uniform_disk_0,uniform_disk,15,15,3517.920657315075,234.528043821005,13494.603286575377,124,2,0.2366771999950288,0,0.0,0,
latest,n15_uniform_disk_1,uniform_disk,15,15,3002.4527508035435,200.16351672023623,11147.263754017715,116,2,0.24690099999133963,0,0.0,0,
latest,n15_uniform_disk_2,uniform_disk,15,15,3399.2577877714593,226.61718585143063,12901.288938857304,125,0,0.2453222000040114,0,0.0,0,
latest,n15_uniform_disk_3,uniform_disk,15,15,2887.3542251745325,192.49028167830218,10761.771125872669,111,0,0.3032512000063434,0,0.0,0,
latest,n15_outer_ring_0,outer_ring,15,15,4069.299660318905,271.2866440212603,15996.49830159452,133,1,0.18966600000567269,0,0.0,0,
latest,n15_outer_ring_1,outer_ring,15,15,3392.2433238584485,226.14955492389657,12746.216619292238,126,7,0.18836540001211688,0,0.0,0,
latest,n15_outer_ring_2,outer_ring,15,15,3537.7807507936714,235.85205005291144,13388.903753968356,131,1,0.18625799998699222,0,0.0,0,
latest,n15_outer_ring_3,outer_ring,15,15,3615.977529646549,241.06516864310328,13799.887648232741,130,3,0.22746949999418575,0,0.0,0,
latest,n15_two_clusters_0,two_clusters,15,15,2697.133256081063,179.80888373873753,9205.666280405316,130,1,0.23104159999638796,0,0.0,0,
latest,n15_two_clusters_1,two_clusters,15,15,2367.0634770959027,157.80423180639352,7830.3173854795095,121,1,0.3156223999976646,0,0.0,0,
